Proj:21  [2018-04-17 18:57:58,744] INFO  Town:main:31               Message: Get system locale is done: ru 
Proj:72  [2018-04-17 18:57:58,795] INFO  Town:main:59               Message: Get res is done: ru           
Proj:75  [2018-04-17 18:57:58,798] INFO  Town:main:65               Message: Encoding is done              
Proj:76  [2018-04-17 18:57:58,799] INFO  Town:main:17               Message: ended                         
Proj:0   [2018-04-17 18:58:15,565] INFO  Town:main:9                Message: started                       
Proj:16  [2018-04-17 18:58:15,581] INFO  Town:main:11               Message: Submited two arguments        
Proj:17  [2018-04-17 18:58:15,582] INFO  Town:main:53               Message: Get time is done: 2           
Proj:18  [2018-04-17 18:58:15,583] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 2  
Proj:18  [2018-04-17 18:58:15,583] INFO  Town:main:31               Message: Get system locale is done: ru 
Proj:63  [2018-04-17 18:58:15,628] INFO  Town:main:59               Message: Get res is done: ru           
Proj:65  [2018-04-17 18:58:15,630] INFO  Town:main:65               Message: Encoding is done              
Proj:66  [2018-04-17 18:58:15,631] INFO  Town:main:17               Message: ended                         
Proj:0   [2018-04-17 19:01:37,353] INFO  Town:main:9                Message: started                       
Proj:23  [2018-04-17 19:01:37,376] INFO  Town:main:11               Message: Submited two arguments        
Proj:25  [2018-04-17 19:01:37,378] INFO  Town:main:53               Message: Get time is done: 3           
Proj:25  [2018-04-17 19:01:37,378] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 3  
Proj:26  [2018-04-17 19:01:37,379] INFO  Town:main:31               Message: Get system locale is done: ru 
Proj:78  [2018-04-17 19:01:37,431] INFO  Town:main:59               Message: Get res is done: ru           
Proj:80  [2018-04-17 19:01:37,433] INFO  Town:main:65               Message: Encoding is done              
Proj:81  [2018-04-17 19:01:37,434] INFO  Town:main:17               Message: ended                         
Proj:0   [2018-04-17 19:01:49,347] INFO  Town:main:9                Message: started                       
Proj:17  [2018-04-17 19:01:49,364] INFO  Town:main:11               Message: Submited two arguments        
Proj:18  [2018-04-17 19:01:49,365] INFO  Town:main:53               Message: Get time is done: 3           
Proj:19  [2018-04-17 19:01:49,366] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 3  
Proj:19  [2018-04-17 19:01:49,366] INFO  Town:main:31               Message: Get system locale is done: ru 
Proj:66  [2018-04-17 19:01:49,413] INFO  Town:main:59               Message: Get res is done: ru           
Proj:68  [2018-04-17 19:01:49,415] INFO  Town:main:65               Message: Encoding is done              
Proj:69  [2018-04-17 19:01:49,416] INFO  Town:main:17               Message: ended                         
Proj:0   [2018-04-17 19:01:58,583] INFO  Town:main:9                Message: started                       
Proj:19  [2018-04-17 19:01:58,602] INFO  Town:main:11               Message: Submited two arguments        
Proj:20  [2018-04-17 19:01:58,603] INFO  Town:main:53               Message: Get time is done: 3           
Proj:21  [2018-04-17 19:01:58,604] INFO  Town:main:16               Message: Town = Los_Angeles; Time = 3  
Proj:22  [2018-04-17 19:01:58,605] INFO  Town:main:31               Message: Get system locale is done: ru 
Proj:63  [2018-04-17 19:01:58,646] INFO  Town:main:59               Message: Get res is done: ru           
Proj:65  [2018-04-17 19:01:58,648] INFO  Town:main:65               Message: Encoding is done              
Proj:66  [2018-04-17 19:01:58,649] INFO  Town:main:17               Message: ended                         
[2018-04-17 19:17:02,497]:   1  INFO    started                             Town.main(Town.java:9)
[2018-04-17 19:17:02,511]:  15  INFO    Submited two arguments              Greeting.GetGreetingWhisTwoArgs.getGreeting(Greeting.GetGreetingWhisTwoArgs.java:11)
[2018-04-17 19:17:02,511]:  15  INFO    Get time is done: 3                 Greeting.GetGreeting.getHour(Greeting.GetGreeting.java:53)
[2018-04-17 19:17:02,512]:  16  INFO    Town = Los_Angeles; Time = 3        Greeting.GetGreetingWhisTwoArgs.getGreeting(Greeting.GetGreetingWhisTwoArgs.java:16)
[2018-04-17 19:17:02,512]:  16  INFO    Get system locale is done: ru       Greeting.GetGreeting.getLocale(Greeting.GetGreeting.java:31)
[2018-04-17 19:17:02,563]:  67  INFO    Get res is done: ru                 Greeting.GetGreeting.getRes(Greeting.GetGreeting.java:59)
[2018-04-17 19:17:02,565]:  69  INFO    Encoding is done                    Greeting.GetGreeting.encode(Greeting.GetGreeting.java:65)
[2018-04-17 19:17:02,566]:  70  INFO    ended                               Town.main(Town.java:17)
[2018-04-17 19:22:58,141]:   1  INFO    started                             Town.main(Town.java:9)
[2018-04-17 19:22:58,161]:  21  INFO    Submited two arguments              Greeting.GetGreetingWhisTwoArgs.getGreeting(Greeting.GetGreetingWhisTwoArgs.java:11)
[2018-04-17 19:22:58,162]:  22  INFO    Get time is done: 3                 Greeting.GetGreeting.getHour(Greeting.GetGreeting.java:53)
[2018-04-17 19:22:58,162]:  22  INFO    Town = Los_Angeles; Time = 3        Greeting.GetGreetingWhisTwoArgs.getGreeting(Greeting.GetGreetingWhisTwoArgs.java:16)
[2018-04-17 19:22:58,163]:  23  INFO    Get system locale is done: ru       Greeting.GetGreeting.getLocale(Greeting.GetGreeting.java:31)
[2018-04-17 19:22:58,209]:  69  INFO    Get res is done: ru                 Greeting.GetGreeting.getRes(Greeting.GetGreeting.java:59)
[2018-04-17 19:22:58,211]:  71  INFO    Encoding is done                    Greeting.GetGreeting.encode(Greeting.GetGreeting.java:65)
[2018-04-17 19:22:58,212]:  72  INFO    ended                               Town.main(Town.java:17)
[2018-04-17 19:22:58,213]:  73  INFO                                        Town.main(Town.java:18)
[2018-04-17 19:23:20,061]:   1  INFO    started                             Town.main(Town.java:9)
[2018-04-17 19:23:20,079]:  19  INFO    Submited two arguments              Greeting.GetGreetingWhisTwoArgs.getGreeting(Greeting.GetGreetingWhisTwoArgs.java:11)
[2018-04-17 19:23:20,080]:  20  INFO    Get time is done: 3                 Greeting.GetGreeting.getHour(Greeting.GetGreeting.java:53)
[2018-04-17 19:23:20,083]:  23  INFO    Town = Los_Angeles; Time = 3        Greeting.GetGreetingWhisTwoArgs.getGreeting(Greeting.GetGreetingWhisTwoArgs.java:16)
